city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
ravar,72.68,31.27,56.81,21,59,2.24,IR,1587213823
provideniya,21.58,64.38,-173.3,95,100,22.19,RU,1587213823
naze,64.4,28.37,129.48,82,67,4.7,JP,1587213823
victoria,73.99,22.29,114.16,86,99,8.99,HK,1587213774
tsabong,90.14,-26.02,22.4,17,21,15.61,BW,1587213824
ahipara,63.81,-35.17,173.17,87,27,11.68,NZ,1587213824
klyuchi,64.49,52.27,79.17,27,0,6.2,RU,1587213824
nanchang,64.36,28.68,115.88,87,100,9.64,CN,1587213824
suzun,54.45,53.78,82.31,53,0,9.46,RU,1587213824
hauterive,69.8,46.09,3.45,49,99,4.7,FR,1587213824
asyut,77.0,27.18,31.18,38,27,17.22,EG,1587213825
manicore,74.88,-5.81,-61.3,96,100,2.82,BR,1587213825
meaford,32.0,44.6,-80.58,90,9,5.01,CA,1587213825
tomatlan,71.58,19.93,-105.25,58,8,3.69,MX,1587213825
labrea,74.17,-7.26,-64.8,91,90,3.15,BR,1587213825
lake city,69.01,30.19,-82.64,93,90,6.93,US,1587213826
tessalit,102.85,20.2,1.01,8,37,5.23,ML,1587213826
hilo,71.6,19.73,-155.09,83,90,4.7,US,1587213826
bathsheba,84.2,13.22,-59.52,62,40,16.11,BB,1587213826
praya,80.6,14.92,-23.51,42,20,24.16,CV,1587213826
sakakah,82.4,29.97,40.21,20,40,11.41,SA,1587213826
gidam,94.6,18.98,81.4,21,49,0.96,IN,1587213826
santa rosa,87.8,14.31,121.11,66,40,5.82,PH,1587213827
talaya,-1.71,61.38,152.75,83,100,7.34,RU,1587213827
las tunas,77.0,20.96,-76.95,83,20,6.93,CU,1587213827
egvekinot,7.25,66.32,-179.17,88,98,21.39,RU,1587213827
usinsk,35.47,65.99,57.53,97,100,7.07,RU,1587213827
moyale,81.18,3.52,39.06,47,88,8.16,KE,1587213827
verkhnyaya inta,37.22,65.98,60.31,92,100,6.44,RU,1587213828
big rapids,33.01,43.7,-85.48,100,1,6.44,US,1587213610
ancud,55.4,-41.87,-73.82,100,75,11.41,CL,1587213828
chapais,23.0,49.78,-74.85,92,1,10.29,CA,1587213828
ghansor,95.54,22.65,79.95,16,65,10.29,IN,1587213828
dwarka,81.39,22.24,68.97,79,0,14.07,IN,1587213829
kokstad,70.12,-30.55,29.42,25,4,6.76,ZA,1587213829
okhotsk,17.76,59.38,143.3,88,100,9.84,RU,1587213829
barra do corda,73.99,-5.5,-45.25,92,100,2.42,BR,1587213829
maniitsoq,25.9,65.42,-52.9,90,100,17.11,GL,1587213829
srednekolymsk,-8.18,67.45,153.68,90,75,9.95,RU,1587213829
luanda,82.4,-8.84,13.23,74,75,8.05,AO,1587213664
revelstoke,35.6,50.98,-118.2,100,75,2.19,CA,1587213830
padang,80.87,-0.95,100.35,77,98,1.59,ID,1587213830
port blair,84.65,11.67,92.75,71,7,5.84,IN,1587213793
saint-louis,77.0,16.33,-15.0,44,88,6.93,SN,1587213830
kendari,78.75,-3.94,122.5,80,96,2.1,ID,1587213830
morondava,87.98,-20.28,44.28,48,0,4.47,MG,1587213830
qaanaaq,13.01,77.48,-69.36,78,4,7.38,GL,1587213830
nabire,78.82,-3.37,135.48,85,100,1.1,ID,1587213831
lebu,59.81,-37.62,-73.65,93,100,2.82,CL,1587213831
talnakh,37.4,69.49,88.4,74,97,29.08,RU,1587213831
tacuarembo,59.79,-31.73,-55.98,79,0,6.4,UY,1587213831
omboue,83.84,-1.57,9.26,77,52,5.57,GA,1587213832
zahvizdya,59.0,48.92,24.65,24,4,6.71,UA,1587213832
tarrega,75.0,41.65,1.14,69,100,8.01,ES,1587213832
