city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
geraldton,60.8,-28.77,114.6,87,95,4.7,AU,1587074072
lompoc,72.0,34.64,-120.46,67,1,12.75,US,1587073931
akodia,85.39,23.38,76.6,20,60,9.86,IN,1587074154
thompson,26.6,55.74,-97.86,49,75,6.93,CA,1587074154
ormara,79.48,25.21,64.64,62,59,9.01,PK,1587074155
malanje,67.71,-9.54,16.34,69,100,2.57,AO,1587074155
chuy,65.39,-33.7,-53.46,82,8,10.87,UY,1587074155
touros,78.8,-5.2,-35.46,94,40,4.7,BR,1587074155
camacha,62.6,33.08,-16.33,72,20,13.87,PT,1587074156
clyde river,8.6,70.47,-68.59,84,75,16.11,CA,1587074156
butaritari,83.71,3.07,172.79,76,100,12.26,KI,1587074039
hofn,40.39,64.25,-15.21,70,50,9.4,IS,1587074157
lima,77.0,-12.04,-77.03,65,3,10.29,PE,1587074157
provideniya,30.2,64.38,-173.3,80,90,15.66,RU,1587074157
sinnamary,80.64,5.38,-52.95,81,99,11.65,GF,1587074157
cockburn town,79.12,21.46,-71.14,80,11,15.19,TC,1587074157
chapais,28.4,49.78,-74.85,42,75,10.29,CA,1587074158
chaiya,81.0,9.39,99.2,82,98,2.8,TH,1587074158
luganville,82.4,-15.53,167.17,83,75,5.82,VU,1587074158
bolobo,78.64,-2.17,16.23,74,99,3.71,CD,1587074158
malindi,80.92,-3.22,40.12,83,100,9.91,KE,1587074158
pleasant point,53.01,-44.27,171.13,97,89,3.94,NZ,1587074159
nicoya,96.8,10.15,-85.45,37,20,18.34,CR,1587074159
santa catarina de tepehuanes,81.88,25.35,-105.73,7,100,18.28,MX,1587074159
shihezi,50.86,44.3,86.03,69,100,2.1,CN,1587074159
ribeira grande,58.5,38.52,-28.7,74,20,11.83,PT,1587074159
olean,36.0,42.08,-78.43,50,90,10.29,US,1587074159
kungurtug,39.31,50.6,97.52,53,100,1.19,RU,1587074159
nishihara,64.4,26.18,127.76,72,1,3.36,JP,1587074160
havoysund,37.4,71.0,24.66,74,75,10.29,NO,1587074160
yate,59.0,51.54,-2.42,71,0,3.36,GB,1587074160
port hawkesbury,37.99,45.62,-61.35,55,75,6.93,CA,1587074160
yar,35.55,58.25,52.1,82,96,13.76,RU,1587074160
prince rupert,46.4,54.32,-130.32,93,90,5.82,CA,1587074161
grand forks,41.0,47.93,-97.03,32,75,10.29,US,1587074120
kermanshah,51.8,34.31,47.06,57,54,4.7,IR,1587074161
adrar,89.82,20.5,-10.07,20,27,4.56,MR,1587074162
batagay-alyta,-6.38,67.8,130.41,81,100,10.33,RU,1587074162
fare,83.71,-16.7,-151.02,71,4,8.7,PF,1587074163
malaryta,43.16,51.79,24.07,63,87,8.3,BY,1587074163
verkh-usugli,33.42,52.7,115.17,60,7,2.37,RU,1587074163
deputatskiy,-4.31,69.3,139.9,85,100,5.06,RU,1587074164
lokosovo,33.28,61.13,74.82,93,24,6.6,RU,1587074164
bandarbeyla,82.04,9.49,50.81,75,16,7.07,SO,1587074164
qaanaaq,15.87,77.48,-69.36,83,100,0.98,GL,1587074165
kutum,64.31,14.2,24.67,13,0,9.37,SD,1587074165
sao joao da barra,77.0,-21.64,-41.05,83,75,9.17,BR,1587074074
morro bay,69.01,35.37,-120.85,59,40,5.82,US,1587074165
mahibadhoo,85.64,3.78,72.97,65,27,4.5,MV,1587074166
roald,39.2,62.58,6.13,55,75,9.17,NO,1587074166
hithadhoo,84.99,-0.6,73.08,69,95,6.35,MV,1587074072
hervey bay,71.01,-25.3,152.85,88,0,3.36,AU,1587074074
san quintin,67.95,30.48,-115.95,52,0,12.24,MX,1587074167
esperance,51.8,-33.87,121.9,87,0,9.17,AU,1587074167
tura,67.44,25.52,90.22,68,96,2.19,IN,1587074111
porto walter,69.44,-8.27,-72.74,91,100,3.89,BR,1587074167
medea,62.6,36.26,2.75,93,40,4.7,DZ,1587074167
sao gabriel da cachoeira,82.69,-0.13,-67.09,86,69,2.26,BR,1587074168
daitari,74.34,21.1,85.75,65,17,2.82,IN,1587074168
beisfjord,32.0,68.38,17.6,100,98,9.17,NO,1587074168
maple creek,41.56,49.92,-109.48,44,93,9.57,CA,1587074168
beringovskiy,22.91,63.05,179.32,96,98,15.28,RU,1587074168
comodoro rivadavia,71.6,-45.87,-67.5,60,93,13.87,AR,1587073884
leh,33.87,34.17,77.58,18,91,3.44,IN,1587073878
urumqi,51.8,43.8,87.6,81,75,4.47,CN,1587074102
yulara,68.0,-25.24,130.99,52,3,6.93,AU,1587074169
loveland,33.01,40.4,-105.08,86,100,14.99,US,1587074169
burnie,51.01,-41.07,145.92,82,39,21.0,AU,1587074169
san cristobal,89.6,7.77,-72.22,46,40,11.41,VE,1587074169
hit,73.92,33.64,42.83,30,99,1.86,IQ,1587074169
isangel,78.8,-19.55,169.27,83,75,16.98,VU,1587074072
srednekolymsk,-0.24,67.45,153.68,92,100,7.58,RU,1587074170
springbok,52.2,-29.66,17.89,40,4,5.57,ZA,1587074145
mirpur mathelo,88.16,28.02,69.55,15,97,3.94,PK,1587074170
leon valley,79.0,29.5,-98.62,41,1,14.99,US,1587073971
bandar-e lengeh,71.6,26.56,54.88,88,0,4.7,IR,1587074170
jadu,67.71,31.95,12.03,54,43,7.54,LY,1587074170
gamba,79.12,-2.65,10.0,87,100,3.71,GA,1587074171
rognan,37.4,67.1,15.39,89,40,21.92,NO,1587074171
lavrentiya,27.48,65.58,-171.0,97,100,12.1,RU,1587074049
batticaloa,80.49,7.71,81.69,78,46,3.58,LK,1587074171
tiarei,87.8,-17.53,-149.33,66,5,9.17,PF,1587074171
sorland,37.2,67.67,12.69,78,100,28.48,NO,1587074171
portland,71.01,45.52,-122.68,19,20,21.92,US,1587074109
ambon,82.81,-3.7,128.18,77,77,7.56,ID,1587073920
quatre cocos,77.0,-20.21,57.76,69,40,11.41,MU,1587073920
buraydah,68.0,26.33,43.98,40,69,5.82,SA,1587074063
leningradskiy,15.06,69.38,178.42,95,100,9.22,RU,1587074172
souillac,77.0,-20.52,57.52,69,40,11.41,MU,1587074083
bobrovka,50.99,54.05,61.75,44,100,19.82,RU,1587074172
kruisfontein,56.84,-34.0,24.73,61,4,5.64,ZA,1587074172
adre,72.88,13.47,22.2,10,0,13.02,TD,1587074173
saint george,73.99,37.1,-113.58,21,1,4.7,US,1587073954
zhuhai,73.4,22.28,113.57,100,20,2.24,CN,1587074173
taoudenni,94.66,22.68,-3.98,19,64,7.85,ML,1587074173
antalaha,76.42,-14.9,50.28,82,40,11.12,MG,1587074173
nikolayevsk-na-amure,34.5,53.14,140.73,83,0,4.0,RU,1587074173
arrecife,69.8,28.96,-13.55,73,20,4.7,ES,1587074174
muros,59.0,42.78,-9.06,93,40,9.17,ES,1587073906
jiexiu,47.34,37.02,111.91,35,0,2.51,CN,1587074174
westport,48.99,41.14,-73.36,21,75,12.75,US,1587074174
iracoubo,80.65,5.48,-53.2,79,100,10.42,GF,1587074174
boende,78.55,-0.22,20.87,68,73,1.32,CD,1587074175
impfondo,79.3,1.64,18.07,65,43,1.81,CG,1587074175
vestmannaeyjar,42.49,63.44,-20.27,88,100,16.11,IS,1587074175
ongandjera,79.45,-17.88,15.07,23,0,3.62,NA,1587074175
huarmey,79.68,-10.07,-78.15,58,56,9.89,PE,1587074175
falam,55.0,22.92,93.68,56,21,2.48,MM,1587074176
tiksi,-8.55,71.69,128.87,90,100,6.6,RU,1587074176
preston,54.0,53.77,-2.72,68,20,19.46,GB,1587074176
port hardy,55.4,50.7,-127.42,66,40,4.7,CA,1587074176
verkhovazhye,32.16,60.75,42.05,94,100,10.51,RU,1587074176
talnakh,23.0,69.49,88.4,67,19,17.9,RU,1587074176
muyezerskiy,30.69,63.93,31.65,93,100,12.82,RU,1587074176
noumea,78.01,-22.28,166.46,69,28,2.24,NC,1587073878
vardo,35.6,70.37,31.11,86,75,13.87,NO,1587074177
domodossola,55.0,46.12,8.29,66,35,2.08,IT,1587074147
japura,73.36,-0.32,102.35,97,100,0.94,ID,1587074177
saint-pierre,75.2,-21.34,55.48,73,27,8.05,RE,1587074177
jizan,84.2,17.33,42.67,74,20,4.7,SA,1587074177
normandin,36.0,48.83,-72.53,31,75,11.41,CA,1587074178
mandera,81.0,3.94,41.87,16,93,13.11,KE,1587074178
alice springs,60.8,-23.7,133.88,59,95,6.93,AU,1587074094
ruston,73.4,32.52,-92.64,20,1,6.93,US,1587074178
dingle,79.54,11.0,122.67,79,56,6.15,PH,1587074119
nikita,39.99,44.53,34.23,61,18,11.79,UA,1587074179
isla vista,72.0,34.41,-119.86,72,40,8.05,US,1587074179
karratha,81.68,-20.74,116.85,73,91,10.6,AU,1587074079
